start_ticks,channel,end_beats,end_s,end_ticks,key_signature,length_beats,length_s,length_ticks,note,start_beats,start_s,time_signature,track,velocity
11904,0,46.74609375,20.3243601328125,11967,D,46.74609375,0.10699713281250212,63,46,46.5,20.217363,4 4,Piano,31
12032,0,47.4921875,20.648748265625,12158,D,47.4921875,0.21399426562499713,126,49,47.0,20.434754,4 4,Piano,36
12032,1,47.4921875,20.648748265625,12158,D,47.4921875,0.21399426562499713,126,37,47.0,20.434754,4 4,Piano,38
12288,0,48.24609375,20.9765331328125,12351,D,48.24609375,0.10699713281249856,63,50,48.0,20.869536,4 4,Piano,54
12288,1,48.4921875,21.083530265625,12414,D,48.4921875,0.21399426562500068,126,26,48.0,20.869536,4 4,Piano,30
12416,0,48.74609375,21.1939241328125,12479,D,48.74609375,0.10699713281250212,63,46,48.5,21.086927,4 4,Piano,30
12544,0,49.4921875,21.518312265625,12670,D,49.4921875,0.21399426562500068,126,50,49.0,21.304318,4 4,Piano,39
12544,1,49.4921875,21.518312265625,12670,D,49.4921875,0.21399426562500068,126,33,49.0,21.304318,4 4,Piano,38
12800,0,50.98046875,22.1653901640625,13051,D,50.98046875,0.4262901640625003,251,49,50.0,21.7391,4 4,Piano,48
12800,1,50.4921875,21.953094265625,12926,D,50.4921875,0.21399426562500068,126,30,50.0,21.7391,4 4,Piano,33
13056,1,51.4921875,22.387876265625,13182,D,51.4921875,0.21399426562500068,126,37,51.0,22.173882,4 4,Piano,39
13312,0,52.24609375,22.7156611328125,13375,D,52.24609375,0.10699713281249856,63,54,52.0,22.608664,4 4,Piano,42
13312,1,52.4921875,22.822658265625,13438,D,52.4921875,0.21399426562500068,126,30,52.0,22.608664,4 4,Piano,32
13440,0,52.74609375,22.9330521328125,13503,D,52.74609375,0.10699713281249856,63,56,52.5,22.826055,4 4,Piano,36
13568,0,53.24609375,23.1504431328125,13631,D,53.24609375,0.10699713281250212,63,58,53.0,23.043446,4 4,Piano,39
13568,1,53.4921875,23.257440265625,13694,D,53.4921875,0.21399426562500068,126,37,53.0,23.043446,4 4,Piano,41
13696,0,53.74609375,23.3678341328125,13759,D,53.74609375,0.10699713281250212,63,59,53.5,23.260837,4 4,Piano,34
13824,0,54.24609375,23.5852251328125,13887,D,54.24609375,0.10699713281249856,63,61,54.0,23.478228,4 4,Piano,55
13824,1,54.4921875,23.692222265625,13950,D,54.4921875,0.21399426562499713,126,30,54.0,23.478228,4 4,Piano,28
13952,0,54.74609375,23.8026161328125,14015,D,54.74609375,0.10699713281249856,63,58,54.5,23.695619,4 4,Piano,32
14080,0,55.4921875,24.127004265625,14206,D,55.4921875,0.21399426562500068,126,61,55.0,23.91301,4 4,Piano,39
14080,1,55.4921875,24.127004265625,14206,D,55.4921875,0.21399426562500068,126,37,55.0,23.91301,4 4,Piano,41
14336,0,56.24609375,24.4547891328125,14399,D,56.24609375,0.10699713281250212,63,62,56.0,24.347792,4 4,Piano,55
14336,1,56.4921875,24.561786265625,14462,D,56.4921875,0.21399426562500068,126,26,56.0,24.347792,4 4,Piano,27
14464,0,56.74609375,24.6721801328125,14527,D,56.74609375,0.10699713281249856,63,58,56.5,24.565183,4 4,Piano,31
14592,0,57.4921875,24.996568265625,14718,D,57.4921875,0.21399426562500068,126,62,57.0,24.782574,4 4,Piano,36
14592,1,57.4921875,24.996568265625,14718,D,57.4921875,0.21399426562500068,126,33,57.0,24.782574,4 4,Piano,41
14848,0,58.24609375,25.3243531328125,14911,D,58.24609375,0.10699713281250212,63,61,58.0,25.217356,4 4,Piano,49
14848,1,58.4921875,25.431350265625,14974,D,58.4921875,0.21399426562500068,126,30,58.0,25.217356,4 4,Piano,34
14976,0,58.74609375,25.5417441328125,15039,D,58.74609375,0.10699713281249856,63,58,58.5,25.434747,4 4,Piano,32
15104,0,59.4921875,25.866132265625,15230,D,59.4921875,0.21399426562500068,126,61,59.0,25.652138,4 4,Piano,37
15104,1,59.4921875,25.866132265625,15230,D,59.4921875,0.21399426562500068,126,37,59.0,25.652138,4 4,Piano,42
15360,0,60.24609375,26.1939171328125,15423,D,60.24609375,0.10699713281250212,63,54,60.0,26.08692,4 4,Piano,31
15360,1,60.4921875,26.300914265625,15486,D,60.4921875,0.21399426562500068,126,30,60.0,26.08692,4 4,Piano,32
15488,0,60.74609375,26.4113081328125,15551,D,60.74609375,0.10699713281250212,63,56,60.5,26.304311,4 4,Piano,34
15616,0,61.24609375,26.6286991328125,15679,D,61.24609375,0.10699713281249856,63,58,61.0,26.521702,4 4,Piano,40
15616,1,61.4921875,26.735696265625,15742,D,61.4921875,0.21399426562499713,126,37,61.0,26.521702,4 4,Piano,42
15744,0,61.74609375,26.8460901328125,15807,D,61.74609375,0.10699713281249856,63,59,61.5,26.739093,4 4,Piano,37
15872,0,62.24609375,27.063481132812502,15935,D,62.24609375,0.10699713281250212,63,61,62.0,26.956484,4 4,Piano,53
15872,1,62.4921875,27.170478265625,15998,D,62.4921875,0.21399426562500068,126,30,62.0,26.956484,4 4,Piano,31
16000,0,62.74609375,27.2808721328125,16063,D,62.74609375,0.10699713281250212,63,58,62.5,27.173875,4 4,Piano,32
16128,0,63.4921875,27.605260265625,16254,D,63.4921875,0.21399426562499713,126,61,63.0,27.391266,4 4,Piano,37
16128,1,63.4921875,27.605260265625,16254,D,63.4921875,0.21399426562499713,126,37,63.0,27.391266,4 4,Piano,39
16384,0,64.24609375,27.9330451328125,16447,D,64.24609375,0.10699713281249856,63,62,64.0,27.826048,4 4,Piano,53
16384,1,64.4921875,28.040042265625,16510,D,64.4921875,0.21399426562500068,126,26,64.0,27.826048,4 4,Piano,29
16512,0,64.74609375,28.1504361328125,16575,D,64.74609375,0.10699713281250212,63,58,64.5,28.043439,4 4,Piano,29
16640,0,65.4921875,28.474824265625,16766,D,65.4921875,0.21399426562500068,126,62,65.0,28.26083,4 4,Piano,37
16640,1,65.4921875,28.474824265625,16766,D,65.4921875,0.21399426562500068,126,33,65.0,28.26083,4 4,Piano,41
16896,0,66.98046875,29.1219021640625,17147,D,66.98046875,0.4262901640625003,251,61,66.0,28.695612,4 4,Piano,49
